CURRENCY_CODE,STATUS,PHONE_NUMBER,BOOKING_DATE,SEGMENT_ID,FIRST_NAME,BOOKING_ID,DESTINATION_TYPE,CUSTOMER_ID,AMOUNT_SPENT,COUNTRY_CODE,ADDRESS,EMAIL,LAST_NAME,BOOKING_TIME
CAD,confirmed,1234567819,30-11-2024,3,Dean,130,beach,30,220,CA,2727 Pine St,dean.collins@example.com,Collins,30:00.0
USD,confirmed,1234567890,01-11-2024,1,Alice,101,city,1,150,US,123 Maple St,alice.johnson@example.com,Johnson,00:00.0
INR,pending,1234567809,20-11-2024,2,Tina,120,mountain,20,240,IN,1717 Pine St,tina.baker@example.com,Baker,00:00.0
CAD,pending,1234567891,02-11-2024,2,Bob,102,beach,2,200,CA,456 Oak St,bob.smith@example.com,Smith,30:00.0
USD,confirmed,1234567810,21-11-2024,1,Ursula,121,forest,21,290,US,1818 Oak St,ursula.gonzalez@example.com,Gonzalez,45:00.0
EUR,confirmed,1234567892,03-11-2024,1,Charlie,103,mountain,3,250,FR,789 Pine St,charlie.brown@example.com,Brown,15:00.0
INR,confirmed,1234567893,04-11-2024,3,David,104,forest,4,300,IN,101 Birch St,david.williams@example.com,Williams,00:00.0
CAD,pending,1234567811,22-11-2024,3,Vera,122,beach,22,200,CA,1919 Cedar St,vera.nelson@example.com,Nelson,15:00.0
CAD,confirmed,1234567894,05-11-2024,2,Eva,105,beach,5,180,CA,202 Cedar St,eva.miller@example.com,Miller,30:00.0
EUR,confirmed,1234567812,23-11-2024,2,Wendy,123,mountain,23,260,FR,2020 Maple St,wendy.carter@example.com,Carter,00:00.0
EUR,pending,1234567895,06-11-2024,3,Frank,106,mountain,6,220,FR,303 Walnut St,frank.taylor@example.com,Taylor,00:00.0
INR,pending,1234567813,24-11-2024,1,Xander,124,city,24,150,IN,2121 Birch St,xander.mitchell@example.com,Mitchell,30:00.0
USD,confirmed,1234567896,07-11-2024,1,Grace,107,city,7,130,US,404 Elm St,grace.anderson@example.com,Anderson,00:00.0
USD,confirmed,1234567814,25-11-2024,3,Yara,125,forest,25,310,US,2222 Pine St,yara.perez@example.com,Perez,00:00.0
CAD,confirmed,1234567899,10-11-2024,3,Jack,110,forest,10,300,CA,707 Maple St,jack.jackson@example.com,Jackson,30:00.0
INR,confirmed,1234567897,08-11-2024,2,Hannah,108,beach,8,170,IN,505 Pine St,hannah.martinez@example.com,Martinez,00:00.0
CAD,confirmed,1234567815,26-11-2024,2,Zane,126,beach,26,180,CA,2323 Oak St,zane.roberts@example.com,Roberts,30:00.0
EUR,confirmed,1234567800,11-11-2024,2,Karen,111,city,11,180,FR,808 Birch St,karen.white@example.com,White,45:00.0
EUR,pending,1234567816,27-11-2024,1,Amy,127,mountain,27,230,FR,2424 Cedar St,amy.evans@example.com,Evans,15:00.0
USD,pending,1234567898,09-11-2024,1,Ivy,109,mountain,9,250,US,606 Oak St,ivy.thomas@example.com,Thomas,00:00.0
INR,pending,1234567801,12-11-2024,3,Leo,112,beach,12,200,IN,909 Cedar St,leo.harris@example.com,Harris,00:00.0
INR,confirmed,1234567817,28-11-2024,2,Ben,128,forest,28,300,IN,2525 Maple St,ben.green@example.com,Green,00:00.0
USD,confirmed,1234567802,13-11-2024,1,Mona,113,mountain,13,250,US,1010 Elm St,mona.clark@example.com,Clark,00:00.0
CAD,pending,1234567803,14-11-2024,2,Nathan,114,forest,14,270,CA,1111 Walnut St,nathan.lewis@example.com,Lewis,30:00.0
USD,pending,1234567818,29-11-2024,1,Clara,129,city,29,130,US,2626 Birch St,clara.hernandez@example.com,Hernandez,45:00.0
EUR,confirmed,1234567804,15-11-2024,1,Olivia,115,city,15,140,FR,1212 Pine St,olivia.walker@example.com,Walker,30:00.0
INR,confirmed,1234567805,16-11-2024,3,Paul,116,mountain,16,230,IN,1313 Oak St,paul.young@example.com,Young,15:00.0
USD,pending,1234567806,17-11-2024,2,Quinn,117,forest,17,280,US,1414 Cedar St,quinn.king@example.com,King,00:00.0
CAD,confirmed,1234567807,18-11-2024,1,Rita,118,beach,18,220,CA,1515 Maple St,rita.scott@example.com,Scott,30:00.0
EUR,confirmed,1234567808,19-11-2024,3,Sam,119,city,19,160,FR,1616 Birch St,sam.adams@example.com,Adams,00:00.0
